epsilon,n_clusters_db,n_noise_db,ARAND_db,AMIS_db,Exec_time_db,n_clusters_dbp_uni,n_noise_dbp_uni,ARAND_dbp_uni,AMIS_dbp_uni,Exec_time_dbp_uni,n_clusters_dbp_kg,n_noise_dbp_kg,ARAND_dbp_kg,AMIS_dbp_kg,Exec_time_dbp_kg
37.5,4,338,0.070720493,0.072291533,1.377341509,5,400,0.080672478,0.073454037,47.04649973,2,360,0.071733189,0.073199288,22.31531596
38.5,3,336,0.068207196,0.069666332,1.358421087,4,366,0.076107809,0.064523281,48.1602416,2,348,0.068006918,0.069302397,22.3624053
39.5,3,333,0.067829564,0.06935367,1.348390579,5,415,0.080273418,0.067961122,49.03587437,2,347,0.068252428,0.069871192,22.10883307
40.5,3,321,0.066418163,0.068510695,1.342451334,4,392,0.07686969,0.067196516,48.79305267,3,326,0.067059905,0.069445079,22.7941432
41.5,3,319,0.065807298,0.067865367,1.341885805,5,353,0.076469442,0.065352231,48.17789197,3,321,0.066418163,0.068510695,22.37688041
42.5,3,318,0.065502396,0.067543009,1.345515728,4,358,0.078452984,0.06674713,46.3144722,3,319,0.065807298,0.067865367,22.73518896
43.5,3,315,0.065133713,0.06747036,1.336387157,5,348,0.079626347,0.066755464,48.50915504,3,318,0.065502396,0.067543009,23.88514471
44.5,3,310,0.064640585,0.066874918,1.575776339,5,366,0.076353785,0.06975306,48.84390283,3,314,0.064829462,0.067147298,22.69717193
45.5,3,308,0.064032641,0.066222839,1.329451561,3,337,0.0693417,0.071201078,46.03821087,3,313,0.064525564,0.066824443,23.19033074
46.5,3,306,0.063968169,0.066485945,1.32738018,3,341,0.067356111,0.067417411,46.5079515,3,311,0.064461244,0.067075923,23.51822662
47.5,3,304,0.063633852,0.06653907,1.404368877,2,345,0.067635508,0.06922194,47.19697165,3,305,0.064006842,0.066680607,23.37592411
48.5,3,301,0.062724749,0.065554311,1.331404686,3,322,0.065644624,0.066559516,46.05014563,3,302,0.063096803,0.065697128,24.00872016
49.5,3,297,0.061517559,0.06424398,1.332903385,3,317,0.065614378,0.067554726,47.72326422,2,299,0.060163977,0.065078683,24.19258189
50.5,3,296,0.061216645,0.063916891,1.341407299,3,317,0.064584862,0.066875707,48.17142653,2,297,0.059562677,0.0644116,23.34892917
51.5,2,293,0.058364319,0.063079785,1.315476894,3,329,0.067037553,0.067008361,45.48645306,2,294,0.058663378,0.063412439,23.34281325
